timestamp_iso,timestamp_bkk,category,candidate,rank,vote_percentage
2026-09-09T13:14:45.219610+07:00,2026-09-09 13:14:45,best-actress,ซอนญ่า ศรัณย์ภัทร์ พีเดอร์เซน,1,41.2
2026-09-09T13:14:45.219610+07:00,2026-09-09 13:14:45,best-actress,เบคกี้ - รีเบคก้า แพทรีเซีย อาร์มสตรอง,2,39.7
2026-09-09T13:14:45.219610+07:00,2026-09-09 13:14:45,best-actress,เมเบิ้ล - สิริวลี สิริวิบูลย์,3,9.5
2026-09-09T13:14:45.219610+07:00,2026-09-09 13:14:45,best-actress,ฝ้าย - พีรญา มะลิซ้อน,4,5.6
2026-09-09T13:14:45.219610+07:00,2026-09-09 13:14:45,best-actress,จินนี่ - ณัฐณิชา ประทีปนาฏศิริ,5,2.4
2026-09-09T13:14:45.219610+07:00,2026-09-09 13:14:45,best-actress,หลิงหลิง - ศิริลักษณ์ คอง,6,1.6
2026-09-09T13:14:45.219610+07:00,2026-09-09 13:14:45,best-series,เสน่หาวาโย,1,45.8
2026-09-09T13:14:45.219610+07:00,2026-09-09 13:14:45,best-series,ด้วงกับเธอ Duang With You Series,2,38.1
2026-09-09T13:14:45.219610+07:00,2026-09-09 13:14:45,best-series,คุณแฟนบ้านนอก Hometown Romance,3,14.0
2026-09-09T13:14:45.219610+07:00,2026-09-09 13:14:45,best-series,เขมจิราต้องรอด,4,1.4
2026-09-09T13:14:45.219610+07:00,2026-09-09 13:14:45,best-series,สิงสาลาตาย Goddess bless you from death,5,0.7
2026-09-09T14:12:38.520325+07:00,2026-09-09 14:12:38,best-actress,ซอนญ่า ศรัณย์ภัทร์ พีเดอร์เซน,1,41.2
2026-09-09T14:12:38.520325+07:00,2026-09-09 14:12:38,best-actress,เบคกี้ - รีเบคก้า แพทรีเซีย อาร์มสตรอง,2,39.6
2026-09-09T14:12:38.520325+07:00,2026-09-09 14:12:38,best-actress,เมเบิ้ล - สิริวลี สิริวิบูลย์,3,9.5
2026-09-09T14:12:38.520325+07:00,2026-09-09 14:12:38,best-actress,ฝ้าย - พีรญา มะลิซ้อน,4,5.7
2026-09-09T14:12:38.520325+07:00,2026-09-09 14:12:38,best-actress,จินนี่ - ณัฐณิชา ประทีปนาฏศิริ,5,2.4
2026-09-09T14:12:38.520325+07:00,2026-09-09 14:12:38,best-actress,หลิงหลิง - ศิริลักษณ์ คอง,6,1.6
2026-09-09T14:12:38.520325+07:00,2026-09-09 14:12:38,best-series,เสน่หาวาโย,1,45.8
2026-09-09T14:12:38.520325+07:00,2026-09-09 14:12:38,best-series,ด้วงกับเธอ Duang With You Series,2,38.1
2026-09-09T14:12:38.520325+07:00,2026-09-09 14:12:38,best-series,คุณแฟนบ้านนอก Hometown Romance,3,14.1
